Month,Longitude,Latitude,Location,Crimetype,Town,POPULATION
2017-06,-5.717713,54.328824,English Street,ASBO,NA,NA
2016-11,-6.67587,54.846679,Tamney Crescent,ASBO,NA,NA
2015-05,-5.93438,54.68608,Forthill Gardens,ASBO,NA,NA
2017-08,-6.061421,54.509005,Moira Road,ASBO,NA,NA
2016-09,-6.339119,54.175351,The Mall,ASBO,NA,NA
2017-07,-5.933133,54.605023,Carrick Hill,VISO,NA,NA
2015-01,-6.360781,54.36697,Pine View Court,Other theft,NA,NA
2015-07,-6.006047,54.569256,Suffolk Crescent,ASBO,NA,NA
2017-07,-7.458212,54.760275,Breen Park,ASBO,NA,NA
2016-09,-5.95464,54.588182,Rockview Street,VISO,NA,NA
2017-03,-5.922687,54.59497,Friendly Street,CDAR,NA,NA
2015-12,-6.19963,54.729116,Steeple Road,ASBO,NA,NA
2017-10,-6.288902,54.349395,Brook Grove,VISO,NA,NA
2016-09,-6.004907,54.578977,Hamill Glen,VISO,NA,NA
2015-09,-5.952891,54.61349,St. Gemmas Court,OTCR,NA,NA
2015-12,-6.275819,54.868688,Thomas Street,VISO,NA,NA
2017-04,-6.048732,54.511209,Bow Street,ASBO,NA,NA
2015-04,-6.278575,54.861774,Queen Street,VISO,NA,NA
2016-03,-6.6517,55.202727,Dunluce Avenue,ASBO,NA,NA
2015-02,-6.332714,54.457707,Ardboe Drive,VISO,NA,NA
2016-01,-5.982673,54.575373,Andersonstown Road,OTCR,NA,NA
2017-08,-6.332579,54.452683,Mourne Road,VISO,NA,NA
2015-10,-5.702351,54.595523,West Street,CDAR,NA,NA
2017-03,-7.317111,54.983642,Tamneymore Park,CDAR,NA,NA
2015-03,-6.259561,54.419101,William Street,ASBO,NA,NA
2015-05,-5.950682,54.604154,Conway Street,Other theft,NA,NA
2015-11,-5.656928,54.631412,Green Road,ASBO,NA,NA
2016-07,-5.683893,54.590283,Stangate Avenue,VISO,NA,NA
2016-02,-6.326358,54.459677,Queen Street,VISO,NA,NA
2016-12,-5.963517,54.688622,Ballyvesey Court,Drugs,NA,NA
2017-06,-6.943696,55.045433,Rathbeg Crescent,CDAR,NA,NA
2016-03,-5.896449,54.599665,Lelia Street,CDAR,NA,NA
2015-12,NA,NA,No Location,Drugs,NA,NA
2015-03,-6.416105,54.436665,Kernan Gardens,ASBO,NA,NA
2017-05,-5.924925,54.599348,Upper Church Lane,VISO,NA,NA
2015-10,-5.923238,54.585967,Ormeau Road,VECR,NA,NA
2016-07,-5.941698,54.582518,Wellington Park,BITH,NA,NA
2015-09,-5.978981,54.625555,Springvale Park,CDAR,NA,NA
2017-05,-5.700543,54.64844,Ravara Gardens,VISO,NA,NA
2015-05,-5.92411,54.658815,Glenmount Road,VISO,NA,NA
2016-04,-6.682871,55.126289,Westbourne Crescent,ASBO,NA,NA
2016-06,-5.938228,54.619962,Antrim Road,ASBO,NA,NA
2016-12,-5.653103,54.664728,Ballyholme Road,ASBO,NA,NA
2017-07,-6.656418,55.11717,Mountsandel Manor,Drugs,NA,NA
2017-07,-6.329301,54.464641,Castle Lane,Drugs,NA,NA
2017-10,-5.92717,54.65716,Longlands Avenue,SHOP,NA,NA
2017-10,-5.932635,54.591645,Ventry Street,ASBO,NA,NA
2017-07,-5.980845,54.591686,Ballymurphy Road,Other theft,NA,NA
2016-09,-5.93543,54.595116,Glengall Street,ASBO,NA,NA
2015-05,-7.627482,54.358654,Drumbawn,ASBO,NA,NA
2017-08,-5.718268,54.744047,Quay Lane,BURG,NA,NA
2017-03,-5.986554,54.59357,Whiterock Road,ASBO,NA,NA
2017-08,-6.451516,54.430296,Rose Cottages,VISO,NA,NA
2016-04,-5.951592,54.693821,The Glade,ASBO,NA,NA
2015-08,-6.5014,55.04918,Torrens Park,Other theft,NA,NA
2015-06,-5.959461,54.592648,Thames Street,VECR,NA,NA
2015-08,-6.265739,54.856021,Chichester Park East,VISO,NA,NA
2016-06,-5.92411,54.658815,Glenmount Road,SHOP,NA,NA
2017-08,-6.050097,54.553199,Mount Eagles Park,ASBO,NA,NA
2015-03,-6.219867,54.502035,Soldierstown Road,VISO,NA,NA
2017-05,-5.932878,54.599682,Chapel Lane,ASBO,NA,NA
2016-06,-5.803091,54.850236,Bay Road,CDAR,NA,NA
2017-03,-5.667982,54.66152,Main Street,ASBO,NA,NA
2016-07,-5.959281,54.57614,Wildflower Way,Other theft,NA,NA
2017-07,-6.609703,54.761178,Derramore Park,ASBO,NA,NA
2017-09,-6.342289,54.173436,Corn Market,VISO,NA,NA
2015-04,-5.933006,54.587985,Botanic Avenue,ASBO,NA,NA
2016-04,-7.348554,55.025036,Whitehouse Road,Other theft,NA,NA
2015-12,-5.847019,54.860466,Walnut Park,CDAR,NA,NA
2015-11,-6.192086,54.69321,Abbey Gardens,VISO,NA,NA
2017-10,-5.947991,54.611494,Oldpark Road,PUBO,NA,NA
2015-07,-7.324848,54.993575,Bishop Street,ASBO,NA,NA
2017-09,-5.932013,54.610629,Duncairn Parade,VISO,NA,NA
2015-10,-5.93543,54.595116,Glengall Street,Other theft,NA,NA
2015-04,-5.948263,54.635317,Upper Cavehill Road,ASBO,NA,NA
2015-03,-6.652541,55.206186,Main Street,VISO,NA,NA
2015-06,-5.903241,54.596988,Tower Street,VISO,NA,NA
2015-08,-5.973875,54.585604,Falls Road,VISO,NA,NA
2017-09,-6.171259,54.238833,Lissize Park,ASBO,NA,NA
